四段・ハ行	仮定形	へ	ヘ	ヘ
四段・ハ行	命令ｅ	へ	ヘ	ヘ
ラ変	基本形	り	リ	リ
ラ変	未然形	ら	ラ	ラ
ラ変	連用形	り	リ	リ
ラ変	体言接続	る	ル	ル
ラ変	仮定形	れ	レ	レ
ラ変	命令ｅ	れ	レ	レ
上二・ダ行	基本形	づ	ヅ	ヅ
上二・ダ行	現代基本形	ず	ズ	ズ
上二・ダ行	未然形	ぢ	ヂ	ヂ
上二・ダ行	連用形	ぢ	ヂ	ヂ
上二・ダ行	体言接続	づる	ヅル	ヅル
上二・ダ行	仮定形	づれ	ヅレ	ヅレ
上二・ダ行	命令ｙｏ	ぢよ	ヂヨ	ヂヨ
上二・ハ行	基本形	ふ	フ	フ
上二・ハ行	未然形	ひ	ヒ	ヒ
上二・ハ行	連用形	ひ	ヒ	ヒ
上二・ハ行	体言接続	ふる	フル	フル
上二・ハ行	仮定形	ふれ	フレ	フレ
上二・ハ行	命令ｙｏ	ひよ	ヒヨ	ヒヨ
下二・ア行	基本形	う	ウ	ウ
下二・ア行	未然形	え	エ	エ
下二・ア行	連用形	え	エ	エ
下二・ア行	体言接続	うる	ウル	ウル
下二・ア行	仮定形	うれ	ウレ	ウレ
下二・ア行	命令ｙｏ	えよ	エヨ	エヨ
下二・カ行	基本形	く	ク	ク
下二・カ行	未然形	け	ケ	ケ
下二・カ行	連用形	け	ケ	ケ
下二・カ行	体言接続	くる	クル	クル
下二・カ行	仮定形	くれ	クレ	クレ
下二・カ行	命令ｙｏ	けよ	ケヨ	ケヨ
下二・ガ行	基本形	ぐ	グ	グ
下二・ガ行	未然形	げ	ゲ	ゲ
下二・ガ行	連用形	げ	ゲ	ゲ
下二・ガ行	体言接続	ぐる	グル	グル
下二・ガ行	仮定形	ぐれ	グレ	グレ
下二・ガ行	命令ｙｏ	げよ	ゲヨ	ゲヨ
下二・サ行	基本形	す	ス	ス
下二・サ行	未然形	せ	セ	セ
下二・サ行	連用形	せ	セ	セ
下二・サ行	体言接続	する	スル	スル
下二・サ行	仮定形	すれ	スレ	スレ
下二・サ行	命令ｙｏ	せよ	セヨ	セヨ
下二・ザ行	基本形	ず	ズ	ズ
下二・ザ行	未然形	ぜ	ゼ	ゼ
下二・ザ行	連用形	ぜ	ゼ	ゼ
下二・ザ行	体言接続	ずる	ズル	ズル
下二・ザ行	仮定形	ずれ	ズレ	ズレ
下二・ザ行	命令ｙｏ	ぜよ	ゼヨ	ゼヨ
下二・タ行	基本形	つ	ツ	ツ
下二・タ行	未然形	て	テ	テ
下二・タ行	連用形	て	テ	テ
下二・タ行	体言接続	つる	ツル	ツル
下二・タ行	仮定形	つれ	ツレ	ツレ
下二・タ行	命令ｙｏ	てよ	テヨ	テヨ
下二・ダ行	基本形	づ	ヅ	ヅ
下二・ダ行	未然形	で	デ	デ
下二・ダ行	連用形	で	デ	デ
下二・ダ行	体言接続	づる	ヅル	ヅル
下二・ダ行	仮定形	づれ	ヅレ	ヅレ
下二・ダ行	命令ｙｏ	でよ	デヨ	デヨ
下二・ナ行	基本形	ぬ	ヌ	ヌ
下二・ナ行	未然形	ね	ネ	ネ
下二・ナ行	連用形	ね	ネ	ネ
下二・ナ行	体言接続	ぬる	ヌル	ヌル
下二・ナ行	仮定形	ぬれ	ヌレ	ヌレ
下二・ナ行	命令ｙｏ	ねよ	ネヨ	ネヨ
下二・ハ行	基本形	ふ	フ	フ
下二・ハ行	未然形	へ	ヘ	ヘ
下二・ハ行	連用形	へ	ヘ	ヘ
下二・ハ行	体言接続	ふる	フル	フル
下二・ハ行	仮定形	ふれ	フレ	フレ
下二・ハ行	命令ｙｏ	へよ	ヘヨ	ヘヨ
下二・バ行	基本形	ぶ	ブ	ブ
下二・バ行	未然形	べ	ベ	ベ
下二・バ行	連用形	べ	ベ	ベ
下二・バ行	体言接続	ぶる	ブル	ブル
下二・バ行	仮定形	ぶれ	ブレ	ブレ
下二・バ行	命令ｙｏ	べよ	ベヨ	ベヨ
下二・マ行	基本形	む	ム	ム
下二・マ行	未然形	め	メ	メ
下二・マ行	連用形	め	メ	メ
下二・マ行	体言接続	むる	ムル	ムル
下二・マ行	仮定形	むれ	ムレ	ムレ
下二・マ行	命令ｙｏ	めよ	メヨ	メヨ
下二・ヤ行	基本形	ゆ	ユ	ユ
下二・ヤ行	未然形	え	エ	エ
下二・ヤ行	連用形	え	エ	エ
下二・ヤ行	体言接続	ゆる	ユル	ユル
下二・ヤ行	仮定形	ゆれ	ユレ	ユレ
下二・ヤ行	命令ｙｏ	えよ	エヨ	エヨ
下二・ラ行	基本形	る	ル	ル
下二・ラ行	未然形	れ	レ	レ
下二・ラ行	連用形	れ	レ	レ
下二・ラ行	体言接続	るる	ルル	ルル
下二・ラ行	仮定形	るれ	ルレ	ルレ
下二・ラ行	命令ｙｏ	れよ	レヨ	レヨ
下二・ワ行	基本形	う	ウ	ウ
下二・ワ行	未然形	ゑ	ヱ	エ
下二・ワ行	連用形	ゑ	ヱ	エ
下二・ワ行	体言接続	うる	ウル	ウル
下二・ワ行	仮定形	うれ	ウレ	ウレ
下二・ワ行	命令ｙｏ	ゑよ	ヱヨ	エヨ
下二・得	基本形	得	ウ	ウ
下二・得	未然形	得	エ	エ
下二・得	連用形	得	エ	エ
下二・得	体言接続	得る	ウル	ウル
下二・得	仮定形	得れ	ウレ	ウレ
下二・得	命令ｙｏ	得よ	エヨ	エヨ
一段・クレル	基本形	れる	レル	レル
一段・クレル	未然形	れ	レ	レ
一段・クレル	未然特殊	ん	ン	ン
一段・クレル	意志推量形	れよう	レヨウ	レヨー
一段・クレル	意志推量-短形	れよ	レヨ	レヨ
一段・クレル	意志推量-促音	れよっ	レヨッ	レヨッ
一段・クレル	連用形	れ	レ	レ
一段・クレル	仮定形	れれ	レレ	レレ
一段・クレル	命令ｅ	れ	レ	レ
一段・クレル	命令ｙｏ	れよ	レヨ	レヨ
一段・クレル	命令ｒｏ	れろ	レロ	レロ
一段・クレル	仮定縮約１	れりゃ	レリャ	レリャ
一段・クレル	仮定縮約１-長音	れりゃあ	レリャア	レリャー
特殊・シレル	基本形	れる	レル	レル
特殊・シレル	未然形	れ	レ	レ
特殊・シレル	未然特殊	ん	ン	ン
特殊・シレル	連用形	れ	レ	レ
形容詞・アウオ段	基本形	い	イ	イ
形容詞・アウオ段	文語基本形	し	シ	シ
形容詞・アウオ段	未然ヌ接続	から	カラ	カラ
形容詞・アウオ段	意志推量形	かろう	カロウ	カロー
形容詞・アウオ段	意志推量-短形	かろ	カロ	カロ
形容詞・アウオ段	連用タ接続	かっ	カッ	カッ
形容詞・アウオ段	連用テ接続	く	ク	ク
形容詞・アウオ段	連用テ接続-促音	くっ	クッ	クッ
形容詞・アウオ段	連用ゴザイ接続	う	ウ	ウ
形容詞・アウオ段	体言接続	き	キ	キ
形容詞・アウオ段	仮定形	けれ	ケレ	ケレ
形容詞・アウオ段	命令ｅ	かれ	カレ	カレ
形容詞・アウオ段	仮定縮約１	けりゃ	ケリャ	ケリャ
形容詞・アウオ段	仮定縮約１-長音	けりゃあ	ケリャア	ケリャー
形容詞・アウオ段	仮定縮約２	きゃ	キャ	キャ
形容詞・アウオ段	仮定縮約２-長音	きゃあ	キャア	キャー
形容詞・アウオ段	ガル接続	*	*	*
形容詞・イ段	基本形	い	イ	イ
形容詞・イ段	文語基本形	*	*	*
形容詞・イ段	未然ヌ接続	から	カラ	カラ
形容詞・イ段	意志推量形	かろう	カロウ	カロー
形容詞・イ段	意志推量-短形	かろ	カロ	カロ
